candidate_id,canonical_name,city,country_code,city_status,region_note,address,michelin_stars,guide_year,official_website,michelin_url,google_place_id,latitude,longitude,coordinate_quality,hotel_id,hotel_relationship,match_status,inclusion_reason,source_url,retrieved_at,confidence,notes
nl_001,Merlet,Schoorl,NL,CITY_MISSING,Noord-Holland,"Duinweg 15, 1871 AC Schoorl",1,2026,merlet.nl,https://guide.michelin.com/us/en/noord-holland/schoorl/restaurant/merlet,,,,NOT_FOUND,,none identified,GENUINELY_MISSING,michelin_star,https://guide.michelin.com/us/en/noord-holland/schoorl/restaurant/merlet,2026-08-12,high,"USER-FLAGGED LEAD, explicitly investigated. Star held continuously since 1998. Hotel + restaurant, Van Bourgonje family since 1984. No alias/duplicate risk -- distinctive name, confirmed absent from all 105 production NL rows."
nl_002,Latour,Noordwijk aan Zee,NL,CITY_MISSING,Zuid-Holland,"Koningin Astrid Boulevard 5, 2202 BK Noordwijk aan Zee",1,2026,restaurantlatour.nl,https://guide.michelin.com/us/en/zuid-holland/noordwijk-aan-zee/restaurant/latour,,,,NOT_FOUND,,none identified,GENUINELY_MISSING,michelin_star,https://guide.michelin.com/us/en/zuid-holland/noordwijk-aan-zee/restaurant/latour,2026-08-12,high,"USER-FLAGGED LEAD, explicitly investigated. Inside Grand Hotel Huis ter Duin (PROPERTY_EXACT candidate -- hotel relationship strongly suggested by address/branding, not independently verified against a Chasing Stars hotel_id this pass since no Netherlands hotel catalogue was queried in this restaurant-only workstream). Star since 2005, chef Kenny Friederichs. Town is specifically 'Noordwijk aan Zee', not plain 'Noordwijk' -- same municipality, keep the full name for precision."
nl_003,Basiliek,Harderwijk,NL,EXISTS,Gelderland,"Vischmarkt 57, 3841 BE Harderwijk",1,2026,restaurantbasiliek.nl,https://guide.michelin.com/us/en/gelderland/harderwijk/restaurant/basiliek-1203189,,,,NOT_FOUND,,none identified,GENUINELY_MISSING,michelin_star,https://guide.michelin.com/us/en/gelderland/harderwijk/restaurant/basiliek-1203189,2026-08-12,high,"Housed in a 15th-century former chapel (Agnietenklooster), national monument. Star history: held 2008-2022 under founder Rik Jansma, lost when he departed, regained April 2023 under new chef-owner Yornie van Dijk -- same physical restaurant/location throughout, not a new entity. Suite/unit letter on the address varies slightly by source (57 vs 57L vs 57-A); core address is solid."
nl_004,Restaurant Smink,Wolvega,NL,CITY_MISSING,Friesland,"Van Harenstraat 37, 8471 JC Wolvega",1,2026,jansmink.com,https://guide.michelin.com/us/en/fryslan/wolvega/restaurant/restaurant-smink,,,,NOT_FOUND,,none identified,GENUINELY_MISSING,michelin_star,https://guide.michelin.com/us/en/fryslan/wolvega/restaurant/restaurant-smink,2026-08-12,high,"First starred 2023. RELOCATED 2024-2025 from its original building into 'Huize Lindenoord' (17th-century monument), reopened there May 2025. Address given here is the CURRENT (post-relocation) address -- if any other source lists an older address, it is stale."
nl_005,De Vlindertuin,Zuidlaren,NL,CITY_MISSING,Drenthe,"Stationsweg 41, 9471 GK Zuidlaren",1,2026,restaurant-devlindertuin.nl,https://guide.michelin.com/us/en/drenthe/zuidlaren/restaurant/de-vlindertuin,,,,NOT_FOUND,,none identified,GENUINELY_MISSING,michelin_star,https://guide.michelin.com/us/en/drenthe/zuidlaren/restaurant/de-vlindertuin,2026-08-12,high,"Star since 2008, in a 1719 Saxon farmhouse. Only starred restaurant in Drenthe -- no plausible alias collision with any production row."
nl_006,Noble Kitchen,Cromvoirt,NL,EXISTS,Noord-Brabant,"Deutersestraat 39B, 5266 AW Cromvoirt",1,2026,,https://guide.michelin.com/us/en/noord-brabant/cromvoirt/restaurant/noble-kitchen,,,,NOT_FOUND,,none identified,GENUINELY_MISSING,michelin_star,https://guide.michelin.com/us/en/noord-brabant/cromvoirt/restaurant/noble-kitchen,2026-08-12,high,"City discrepancy resolved: one secondary source said ""'s-Hertogenbosch"", but Michelin's own URL path uses /cromvoirt/, which settles it -- Cromvoirt is correct (a small hamlet in Vught municipality near Den Bosch, loosely labeled by the other source, not a separate/renamed restaurant). Starred since the 2024 guide. No distinct official website domain confirmed beyond aggregator listings."
nl_007,De Woage,Gramsbergen,NL,CITY_MISSING,Overijssel,"Meiboomplein 1, 7783 AT Gramsbergen",1,2026,,https://guide.michelin.com/us/en/overijssel/gramsbergen/restaurant/de-woage,,,,NOT_FOUND,,none identified,GENUINELY_MISSING,michelin_star,https://guide.michelin.com/us/en/overijssel/gramsbergen/restaurant/de-woage,2026-08-12,medium-high,"MOST VOLATILE ENTRY IN THIS DATASET -- flag for re-verification before final import. Rebranded to 'Restobar De Woage' on 2026-01-22, shifting from fine dining to a casual all-day concept; two staff became partners. Multiple sources (incl. Michelin's own updated listing title) indicate the star was RETAINED through this transition as of the 2026 guide, but given how recent and unusual the concept shift is, this should be re-checked again closer to actual import time rather than trusted indefinitely."
nl_008,De Swarte Ruijter,Holten,NL,CITY_MISSING,Overijssel,"Holterbergweg 7, 7451 JL Holten",1,2026,swarteruijter.nl,https://guide.michelin.com/us/en/overijssel/holten/restaurant/de-swarte-ruijter,,,,NOT_FOUND,,none identified,GENUINELY_MISSING,michelin_star,https://guide.michelin.com/us/en/overijssel/holten/restaurant/de-swarte-ruijter,2026-08-12,high,"Star since 2016, explicitly listed in the 2026 MICHELIN Guide Netherlands. Thatched restaurant + hotel on the Holterberg (PROPERTY_EXACT candidate -- not independently verified against a Chasing Stars hotel_id, no NL hotel catalogue queried this pass)."
nl_009,'t Lansink,Hengelo,NL,CITY_MISSING,"Overijssel -- DISAMBIGUATION REQUIRED: Hengelo (Overijssel), NOT Hengelo (Gelderland), a different town of the same name","C.T. Storkstraat 18, Hengelo (Overijssel)",1,2026,hotellansink.nl,https://guide.michelin.com/us/en/overijssel/hengelo/restaurant/t-lansink,,,,NOT_FOUND,,none identified,GENUINELY_MISSING,michelin_star,https://guide.michelin.com/us/en/overijssel/hengelo/restaurant/t-lansink,2026-08-12,high,"Hotel-restaurant since 1916, national monument, 'Court Supplier by Royal Order' (PROPERTY_EXACT candidate). Confirmed live against production's cities table: no 'Hengelo' row exists at all today (neither the Overijssel nor the Gelderland town) -- when created, this city must be tagged to the Overijssel town specifically, not left ambiguous."
nl_010,De Bloemenbeek,De Lutte,NL,CITY_MISSING,Overijssel,"Beuningerstraat 6, 7587 LD De Lutte",1,2026,bloemenbeek.nl,https://guide.michelin.com/us/en/overijssel/de-lutte/restaurant/de-bloemenbeek,,,,NOT_FOUND,,none identified,GENUINELY_MISSING,michelin_star,https://guide.michelin.com/us/en/overijssel/de-lutte/restaurant/de-bloemenbeek,2026-08-12,high,"Star since 2011 (longest continuously-held star in Twente per its own marketing). Landhuishotel with restaurant (PROPERTY_EXACT candidate, not independently verified against a hotel_id)."
nl_011,De Gieser Wildeman,Noordeloos,NL,CITY_MISSING,Zuid-Holland,"Botersloot 1, 4225 PR Noordeloos",1,2026,degieserwildeman.nl,https://guide.michelin.com/us/en/zuid-holland/noordeloos/restaurant/de-gieser-wildeman,,,,NOT_FOUND,,none identified,GENUINELY_MISSING,michelin_star,https://guide.michelin.com/us/en/zuid-holland/noordeloos/restaurant/de-gieser-wildeman,2026-08-12,high,"Star since 2006. New chef Marco van der Wijngaard took over Aug 2025 after 31 years under previous owners; star retained under the change. One source references a possible ownership sale in progress due to lack of succession -- current star status confirmed, but ownership stability is a soft future risk worth a light re-check before final ingestion. Has a separate on-site bistro with a Bib Gourmand (not the starred entity, not to be confused with it)."
nl_012,De Moerbei,Warmond,NL,CITY_MISSING,Zuid-Holland,"Dorpsstraat 5A, 2361 AK Warmond",1,2026,demoerbeiwarmond.nl,https://guide.michelin.com/us/en/zuid-holland/warmond/restaurant/de-moerbei,,,,NOT_FOUND,,none identified,GENUINELY_MISSING,michelin_star,https://guide.michelin.com/us/en/zuid-holland/warmond/restaurant/de-moerbei,2026-08-12,high,"Star since 2009. Chef Michael Corpel, sommelier Frank de Haas. Housed in a former farmhouse (1996 conversion) on the historic 'Meerrust' monument site. No alias risk."
