gm_candidate_id,name,city,country,country_code,address,website,gault_millau_url,score,toques,distinction,guide_year,source_url,retrieval_date,confidence,notes
gm_001,Le Meurice - Alain Ducasse,Paris,France,FR,"228 Rue de Rivoli, 75001 Paris",not found,https://fr.gaultmillau.com/en/restaurants/le-meurice-alain-ducasse,,,Toques d'Or (unscored),2026,https://fr.gaultmillau.com/en/faq/c-est-quoi-les-toques-d-or%C2%A0,2026-08-11,high,"Gault&Millau Academy member, removed from scoring by design"
gm_002,L'Ambroisie,Paris,France,FR,"9 Place des Vosges, 75004 Paris",not found,https://fr.gaultmillau.com/en/restaurants/l-ambroisie,,,Toques d'Or (unscored),2026,https://fr.gaultmillau.com/en/faq/c-est-quoi-les-toques-d-or%C2%A0,2026-08-11,high,
gm_003,Restaurant Guy Savoy,Paris,France,FR,"11 quai de Conti, 75006 Paris",not found,https://fr.gaultmillau.com/en/restaurants/restaurant-guy-savoy,,,Toques d'Or (unscored),2026,https://fr.gaultmillau.com/en/faq/c-est-quoi-les-toques-d-or%C2%A0,2026-08-11,high,
gm_004,L'Arpège,Paris,France,FR,"84 Rue de Varenne, 75007 Paris",not found,https://fr.gaultmillau.com/en/restaurants/l-arpege,,,Toques d'Or (unscored),2026,https://fr.gaultmillau.com/en/faq/c-est-quoi-les-toques-d-or%C2%A0,2026-08-11,high,
gm_005,Pierre Gagnaire,Paris,France,FR,"6 Rue Balzac, 75008 Paris",not found,https://fr.gaultmillau.com/en/restaurants/pierre-gagnaire,,,"Toques d'Or (implied, unscored)",2026,https://fr.gaultmillau.com/en/restaurants/pierre-gagnaire,2026-08-11,medium,Academy status implied not explicit
gm_006,AM par Alexandre Mazzia,Marseille,France,FR,"9 rue François-Rocca, 13008 Marseille",not found,https://fr.gaultmillau.com/en/restaurants/alexandre-mazzia,19,5,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,high,
gm_007,Alléno Paris – Pavillon Ledoyen,Paris,France,FR,"8 Avenue Dutuit, 75008 Paris",yannick-alleno.com,https://fr.gaultmillau.com/en/restaurants/ledoyen,19,5,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,medium,"toque count from city listing, not restated on profile page"
gm_008,Plénitude - Cheval Blanc Paris,Paris,France,FR,"8 Quai du Louvre, 75001 Paris",chevalblanc.com,https://fr.gaultmillau.com/en/restaurants/plenitude---cheval-blanc-paris,19,5,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,medium,toque count from city listing
gm_009,Le 1947 à Cheval Blanc,Courchevel,France,FR,"Rue du Jardin Alpin, 73120 Courchevel",chevalblanc.com,https://fr.gaultmillau.com/en/restaurants/le-1947,19,5,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,high,"explicit ""Exceptional Restaurant (5 toques)"" on profile"
gm_010,La Table de Yoann Conte,Veyrier-du-Lac,France,FR,"13 Vieille Route des Pensières, 74290 Veyrier-du-Lac",yoann-conte.com,https://fr.gaultmillau.com/en/restaurants/restaurant-yoann-conte,19,,Exceptional Restaurant (unnumbered),2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,medium,
gm_011,Le Cinq - Four Seasons George V,Paris,France,FR,"31 Avenue George V, 75008 Paris",fourseasons.com,https://fr.gaultmillau.com/en/restaurants/le-cinq-restaurant-paris-8,19,,Exceptional Restaurant (unnumbered),2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,medium,
gm_012,Le Bois sans feuilles - Maison Troisgros,Ouches,France,FR,"728 route de Villerest, 42155 Ouches",troisgros.fr,https://fr.gaultmillau.com/en/restaurants/maison-troisgros,18.5,4,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,high,
gm_013,Pic (Anne-Sophie Pic),Valence,France,FR,"285 avenue Victor Hugo, 26000 Valence",anne-sophie-pic.com,https://fr.gaultmillau.com/en/restaurants/pic,18.5,4,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,high,
gm_014,Passédat - Le Petit Nice,Marseille,France,FR,13007 Marseille (street not found),not found,https://fr.gaultmillau.com/en/restaurants/passedat-le-petit-nice-restaurant,18.5,4,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,medium,
gm_015,Épicure - Le Bristol Paris,Paris,France,FR,"112 Rue du Faubourg Saint-Honoré, 75008 Paris",oetkerhotels.com,https://fr.gaultmillau.com/en/restaurants/epicure-le-bristol-paris,17.5,4,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,high,
gm_016,Restaurant Christopher Coutanceau,La Rochelle,France,FR,"Plage de la Concurrence, 17000 La Rochelle",christophercoutanceau.com,https://fr.gaultmillau.com/en/restaurants/restaurant-christopher-coutanceau,17,4,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,high,
gm_017,"Bras, Le Suquet",Laguiole,France,FR,"Route de l'Aubrac, 12210 Laguiole",bras.fr,https://fr.gaultmillau.com/en/restaurants/bras-le-suquet,17,4,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,high,
gm_018,Le Neuvième Art,Lyon,France,FR,not found,leneuviemeart.com,https://fr.gaultmillau.com/en/restaurants/le-neuvieme-art,17,4,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,medium,website from secondary source
gm_019,"Une Table, au Sud",Marseille,France,FR,13002 Marseille (street not found),not found,https://fr.gaultmillau.com/en/restaurants/une-table-au-sud,16,3,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,high,
gm_020,De Librije,Zwolle,Netherlands,NL,"Spinhuisplein 1, 8011 ZZ Zwolle",librije.com,https://www.gault-millau.nl/en/restaurants/de-librije-zwolle,19.5,,,2026,https://www.gault-millau.nl,2026-08-11,high,
