gm_candidate_id,name,city,country,address,website,gault_millau_url,score,toques,distinction,guide_year,source_url,retrieval_date,confidence,notes
gm_001,Le Meurice - Alain Ducasse,Paris,France,"228 Rue de Rivoli, 75001 Paris",not found,https://fr.gaultmillau.com/en/restaurants/le-meurice-alain-ducasse,,,Toques d'Or (unscored),2026,https://fr.gaultmillau.com/en/faq/c-est-quoi-les-toques-d-or%C2%A0,2026-08-11,high,"Gault&Millau Academy member, removed from scoring by design"
gm_002,L'Ambroisie,Paris,France,"9 Place des Vosges, 75004 Paris",not found,https://fr.gaultmillau.com/en/restaurants/l-ambroisie,,,Toques d'Or (unscored),2026,https://fr.gaultmillau.com/en/faq/c-est-quoi-les-toques-d-or%C2%A0,2026-08-11,high,
gm_003,Restaurant Guy Savoy,Paris,France,"11 quai de Conti, 75006 Paris",not found,https://fr.gaultmillau.com/en/restaurants/restaurant-guy-savoy,,,Toques d'Or (unscored),2026,https://fr.gaultmillau.com/en/faq/c-est-quoi-les-toques-d-or%C2%A0,2026-08-11,high,
gm_004,L'Arpège,Paris,France,"84 Rue de Varenne, 75007 Paris",not found,https://fr.gaultmillau.com/en/restaurants/l-arpege,,,Toques d'Or (unscored),2026,https://fr.gaultmillau.com/en/faq/c-est-quoi-les-toques-d-or%C2%A0,2026-08-11,high,
gm_005,Pierre Gagnaire,Paris,France,"6 Rue Balzac, 75008 Paris",not found,https://fr.gaultmillau.com/en/restaurants/pierre-gagnaire,,,"Toques d'Or (implied, unscored)",2026,https://fr.gaultmillau.com/en/restaurants/pierre-gagnaire,2026-08-11,medium,Academy status implied not explicit
gm_006,AM par Alexandre Mazzia,Marseille,France,"9 rue François-Rocca, 13008 Marseille",not found,https://fr.gaultmillau.com/en/restaurants/alexandre-mazzia,19,5,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,high,
gm_007,Alléno Paris – Pavillon Ledoyen,Paris,France,"8 Avenue Dutuit, 75008 Paris",yannick-alleno.com,https://fr.gaultmillau.com/en/restaurants/ledoyen,19,5,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,medium,"toque count from city listing, not restated on profile page"
gm_009,Le 1947 à Cheval Blanc,Courchevel,France,"Rue du Jardin Alpin, 73120 Courchevel",chevalblanc.com,https://fr.gaultmillau.com/en/restaurants/le-1947,19,5,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,high,"explicit ""Exceptional Restaurant (5 toques)"" on profile"
gm_010,La Table de Yoann Conte,Veyrier-du-Lac,France,"13 Vieille Route des Pensières, 74290 Veyrier-du-Lac",yoann-conte.com,https://fr.gaultmillau.com/en/restaurants/restaurant-yoann-conte,19,,Exceptional Restaurant (unnumbered),2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,medium,
gm_011,Le Cinq - Four Seasons George V,Paris,France,"31 Avenue George V, 75008 Paris",fourseasons.com,https://fr.gaultmillau.com/en/restaurants/le-cinq-restaurant-paris-8,19,,Exceptional Restaurant (unnumbered),2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,medium,
gm_012,Le Bois sans feuilles - Maison Troisgros,Ouches,France,"728 route de Villerest, 42155 Ouches",troisgros.fr,https://fr.gaultmillau.com/en/restaurants/maison-troisgros,18.5,4,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,high,
gm_013,Pic (Anne-Sophie Pic),Valence,France,"285 avenue Victor Hugo, 26000 Valence",anne-sophie-pic.com,https://fr.gaultmillau.com/en/restaurants/pic,18.5,4,,2026,https://fr.gaultmillau.com/en/restaurants/,2026-08-11,high,
