country_code,name,region,restaurant_count,candidate_ids,spelling_variants_collapsed,notes
BE,Aalst,,1,be_030,,
BE,Arlon,,1,be_111,,
BE,Bazel,,1,be_037,,"Parenthetical '(Kruibeke)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Bazel' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Beuzet,,1,be_099,,
BE,Blaregnies,,1,be_085,,"Parenthetical '(Quévy)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Blaregnies' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Borgerhout,,1,be_025,,"Parenthetical '(Antwerpen)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Borgerhout' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Bouge,,1,be_100,,
BE,Braine-l'Alleud,,2,be_107;be_108,,
BE,Braine-le-Château,,1,be_109,,
BE,Damme,,1,be_044,,
BE,Dave,,1,be_101,,
BE,De Panne,,1,be_057,,
BE,Dilsen-Stokkem,,1,be_063,,
BE,Durbuy,,1,be_112,,
BE,Eghezée,,1,be_002,,"Parenthetical '(Liernu)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Eghezée' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Elverdinge,,1,be_047,,"Parenthetical '(Ieper)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Elverdinge' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Emptinne,,1,be_102,,
BE,Flobecq,,1,be_086,,
BE,Francorchamps,,1,be_093,,"Parenthetical '(Stavelot)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Francorchamps' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Geel,,1,be_022,,
BE,Genk,,2,be_060;be_066,,
BE,Gentbrugge,,1,be_040,,"Parenthetical '(Gent)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Gentbrugge' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Grandhan,,1,be_113,,"Parenthetical '(Durbuy)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Grandhan' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Hasselt,,2,be_065;be_068,,
BE,Heverlee,,1,be_076,,"Parenthetical '(Leuven)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Heverlee' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Hulshout,,1,be_021,,
BE,Ixelles,,2,be_081;be_082,,
BE,Jodoigne,,1,be_110,,
BE,Koewacht,,1,be_036,,"Parenthetical '(Sint-Gillis-Waas)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Koewacht' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Kontich,,1,be_027,,
BE,Kortrijk,,1,be_053,,
BE,Leefdaal,,1,be_077,,"Parenthetical '(Bertem)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Leefdaal' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Lichtaart,,1,be_019,,"Parenthetical '(Kasterlee)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Lichtaart' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Lier,,1,be_023,,
BE,Liège,,2,be_090;be_096,,
BE,Lotenhulle,,1,be_031,,"Parenthetical '(Aalter)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Lotenhulle' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Marche-en-Famenne,,1,be_114,,
BE,Marchin,,1,be_004,,
BE,Marenne,,1,be_115,,"Parenthetical '(Hotton)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Marenne' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Marke,,2,be_050;be_054,,"Parenthetical '(Kortrijk)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Marke' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Mechelen,,1,be_024,,
BE,Namur,,1,be_103,,
BE,Nieuwkerken-Waas,,1,be_038,,"Parenthetical '(Sint-Niklaas)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Nieuwkerken-Waas' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Ohain,,1,be_106,,"Parenthetical '(Lasne)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Ohain' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Oostende,,1,be_046,,
BE,Ordingen,,1,be_059,,"Parenthetical '(Sint-Truiden)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Ordingen' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Oudenburg,,1,be_055,,
BE,Ouwegem,,1,be_028,,"Parenthetical '(Kruisem)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Ouwegem' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Paliseul,,1,be_116,,
BE,Quévy-le-Grand,,1,be_087,,"Parenthetical '(Quévy)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Quévy-le-Grand' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Roucourt,,1,be_088,,"Parenthetical '(Péruwelz)' treated as nearby-place reference only, not used for matching or city creation -- primary name 'Roucourt' is the actual municipality (evidence-based rule, confirmed against 4 cases in the location spike: Elverdinge/Ieper, Lichtaart/Kasterlee, Sint-Kruis/Brugge, Eghezee/Liernu)."
BE,Saint-Vith,,2,be_094;be_098,,
BE,Seneffe,,1,be_089,,
