candidate_id,canonical_name,entity_type,guide_year,award_type,award_value,is_current,announced_on,convention_source
nl_001,Merlet,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_002,Latour,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_003,Basiliek,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_004,Restaurant Smink,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_005,De Vlindertuin,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_007,De Woage,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_008,De Swarte Ruijter,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_009,'t Lansink,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_010,De Bloemenbeek,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_011,De Gieser Wildeman,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_012,De Moerbei,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_013,Bij Jef,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_014,Daalder,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_015,Graphite by Peter Gast,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
nl_016,Zheng,restaurant,2026,michelin_stars,1,true,,"matches all 105 existing NL current award_history rows (live-verified)"
