candidate_id,name,city,country,inclusion_reason,michelin_keys,key_confidence,w50b_appearances,status
hotel_01,Pulitzer Amsterdam,Amsterdam,Netherlands,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_02,Central Park,Voorburg,Netherlands,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_03,The Dylan,Amsterdam,Netherlands,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_04,Soho House,Amsterdam,Netherlands,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_05,Van Oys Maastricht Retreat,Maastricht,Netherlands,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_06,Pillows Grand Boutique Hotel Ter Borch,Zwolle,Netherlands,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_07,Château St. Gerlach,Valkenburg,Netherlands,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_08,Mooirivier,Dalfsen,Netherlands,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_09,The Craftsmen,Amsterdam,Netherlands,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_10,De Plesman Hotel,The Hague,Netherlands,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_11,Landgoed Hotel Het Roode Koper,Ermelo,Netherlands,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_12,Pillows Grand Boutique Hotel Maurits at the Park,Amsterdam,Netherlands,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_13,Château Neercanne,Maastricht,Netherlands,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_14,TwentySeven,Amsterdam,Netherlands,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_15,Rosewood Amsterdam,Amsterdam,Netherlands,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_16,Tivoli Doelen,Amsterdam,Netherlands,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_17,De L'Europe,Amsterdam,Netherlands,michelin_key,3,existing_catalogue,0,IN_CATALOGUE
hotel_18,Botanic Sanctuary Antwerp,Antwerp,Belgium,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_19,Juliana Hotel Brussels,Brussels,Belgium,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_20,Hôtel Amigo,Brussels,Belgium,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_21,Hotel Van Cleef,Bruges,Belgium,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_147,Pillows Grand Boutique Hotel Reylof Ghent,Ghent,Belgium,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_148,Kasteel van Ordingen,Sint-Truiden,Belgium,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_149,Boutiquehotel 't Fraeyhuis,Bruges,Belgium,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_150,Dukes' Palace Brugge,Bruges,Belgium,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_151,La Butte aux Bois,Lanaken,Belgium,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_152,Château de Vignée,Rochefort,Belgium,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_153,Corinthia Grand Hotel Astoria Brussels,Brussels,Belgium,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_154,1898 The Post,Ghent,Belgium,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_155,Hotel De Witte Lelie,Antwerp,Belgium,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_156,The Notary,Bruges,Belgium,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_157,Hotel Flora,Antwerp,Belgium,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_22,Le Place d'Armes,Luxembourg City,Luxembourg,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_23,Hotel Bareiss,Baiersbronn,Germany,michelin_key,3,existing_catalogue,0,IN_CATALOGUE
hotel_24,Hotel Traube Tonbach,Baiersbronn,Germany,michelin_key,3,existing_catalogue,0,IN_CATALOGUE
hotel_25,Schloss Elmau Luxury Spa Retreat & Cultural Hideaway,Elmau,Germany,michelin_key,3,existing_catalogue,0,IN_CATALOGUE
hotel_26,Hotel Vier Jahreszeiten,Hamburg,Germany,michelin_key,3,existing_catalogue,0,IN_CATALOGUE
hotel_27,The Fontenay,Hamburg,Germany,michelin_key,3,existing_catalogue,0,IN_CATALOGUE
hotel_28,Althoff Seehotel Überfahrt,Rottach-Egern,Germany,michelin_key,3,existing_catalogue,0,IN_CATALOGUE
hotel_88,Villa Contessa,Bad Saarow,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_89,Kempinski Hotel Berchtesgaden,Berchtesgaden,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_90,Hotel de Rome,Berlin,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_91,Patrick Hellmann Schlosshotel,Berlin,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_92,Telegraphenamt,Berlin,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_93,"The Ritz-Carlton, Berlin",Berlin,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_94,Spa & Golf Hotel Weimarer Land,Blankenhain,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_95,Hotel Ketschauer Hof,Deidesheim,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_96,Der Öschberghof,Donaueschingen,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_97,Bülow Palais,Dresden,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_98,Kempinski Hotel Taschenbergpalais,Dresden,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_99,Breidenbacher Hof Düsseldorf,Düsseldorf,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_100,Sofitel Frankfurt Opera,Frankfurt am Main,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_101,Vitalhotel Alter Meierhof,Glücksburg,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_102,Seezeitlodge Hotel & Spa,Gonnesweiler,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_103,Das Achental Resort,Grassau,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_104,Hotel Louis C. Jacob,Hamburg,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_105,Luisenhöhe - Gesundheitsresort Schwarzwald,Horben,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_106,Das Kranzbach Hotel & Wellness Retreat,Kranzbach,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_107,Mandarin Oriental Munich,Munich,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_108,Rocco Forte Charles Hotel,Munich,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_109,Rosewood Munich,Munich,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_110,Sonnenalp Resort,Ofterschwang,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_111,Hotel Gut Steinbach,Reit im Winkl,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_112,Wellness & Sport Hotel Jagdhof,Röhrnbach,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_113,Parkhotel Egerner Höfe,Rottach-Egern,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_114,Esplanade Saarbrücken,Saarbrücken,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_115,La Maison,Saarlouis,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_116,Seesteg Norderney,Norderney,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_117,Landhaus Stricker,Sylt,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_118,Söl’ring Hof,Sylt,Germany,michelin_key,2,existing_catalogue,0,IN_CATALOGUE
hotel_158,Cortiina Hotel,Munich,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_159,Hotel Vier Jahreszeiten Kempinski,Munich,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_160,Hotel Adlon Kempinski,Berlin,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_161,Bayerischer Hof Munich,Munich,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_162,Excelsior Hotel Ernst,Cologne,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_163,The Mandala Hotel,Berlin,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_164,Wilmina Hotel,Berlin,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_165,Château Royal Berlin,Berlin,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_166,Das Stue,Berlin,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_167,Hotel Orania.Berlin,Berlin,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_168,Schloss Eberstein,Gernsbach,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_169,AMERON Neuschwanstein Alpsee Resort & Spa,Schwangau,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_170,Burg Schwarzenstein,Geisenheim,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_171,Kloster Hornbach,Hornbach,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_172,Gasthof Zufriedenheit,Naumburg,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_173,Villa Sonnenhof Boutique Hotel,Bad Reichenhall,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_174,Hotel Landhaus Wachtelhof,Rotenburg an der Wümme,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_175,Althoff Grandhotel Schloss Bensberg,Bensberg,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_176,Grand Hotel Heiligendamm,Bad Doberan,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_177,Landhaus Flottbek Boutique Hotel,Hamburg,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_178,Villa Mittermeier,Rothenburg ob der Tauber,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_179,RIVA - Das Hotel am Bodensee,Konstanz,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_180,Hotel München Palace,Munich,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_181,HOTEL ZOO BERLIN,Berlin,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_182,Der Birkenhof Spa & Genuss Resort,Neunburg vorm Wald,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_183,Schlosshotel Münchhausen,Aerzen,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_184,Alpenloge Hotel,Scheidegg,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_185,Hardenberg Burghotel,Nörten-Hardenberg,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_197,Hotel Oswald Gourmet & Spa,Kaikenried,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_198,Hanusel Hof,Hellengerst,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_199,Hotel BEI SCHUMANN,Kirschau,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
hotel_200,Hüttenhof - Wellnesshotel & Luxus-Bergchalets,Grainet,Germany,michelin_key,1,existing_catalogue,0,IN_CATALOGUE
