hotel_id,hotel_code,name,city,michelin_keys,website_url,linked_michelin_restaurant(s)_in_catalogue,future_qualifying_event_found,notes
c964115a-4c9d-49fe-b3e1-07a1145b6c7f,hotel_17,De L'Europe,Amsterdam,3,https://www.deleurope.com/nl/,"Bord'Eau (per independent research, not confirmed in catalogue under this exact name in this pass); Flore (2-star, per independent research)",no,"Only 3-Key NL hotel; no discrete dated future public gastronomic event found via official site in this research pass; worth a deeper future look given its Key tier"
4c011b1e-5b27-4355-b18e-134b70333ed5,hotel_13,Château Neercanne,Maastricht,2,https://www.oostwegelcollection.nl/chateau-neercanne/en,Château Neercanne (1 star, chef Robert Levels),no,"No specific 2026 culinary event found via search in this pass; site emphasizes private/group event hosting, not public ticketed events"
942cd13e-568f-4791-ac65-8eda4ae784f2,hotel_12,Pillows Grand Boutique Hotel Maurits at the Park,Amsterdam,2,https://www.pillowshotels.com/amsterdam-mauritskade/,none identified,no,"No qualifying gastronomic event found in this pass"
84aef14e-4bd7-46ef-a5e2-a8e0424a3be0,hotel_15,Rosewood Amsterdam,Amsterdam,2,https://www.rosewoodhotels.com/en/amsterdam,none identified,no,"No qualifying gastronomic event found in this pass"
e134a640-a07c-46e7-abdc-9eb353b020cb,hotel_16,Tivoli Doelen,Amsterdam,2,https://www.tivolihotels.com/nl/tivoli-doelen,none identified,no,"No qualifying gastronomic event found in this pass"
87b0a187-dc4c-4f00-ab36-be2a55aceaac,hotel_14,TwentySeven,Amsterdam,2,https://www.hoteltwentyseven.com/nl,none identified,no,"No qualifying gastronomic event found in this pass"
15361ad3-ab2f-45da-abd4-1cfad608d99a,hotel_02,Central Park,Voorburg,1,https://www.centralparkvoorburg.com/,none identified,no,"No qualifying gastronomic event found in this pass"
d0d4ee4c-fb5b-40a6-b45f-839f3fa46250,hotel_07,Château St. Gerlach,Valkenburg,1,https://www.oostwegelcollection.nl/chateau-st-gerlach/en/,none identified,no,"No specific 2026 culinary event found via search in this pass; site emphasizes private/group event hosting"
2de6f1dd-4dc0-48b1-b2e0-76cc72290175,hotel_10,De Plesman Hotel,The Hague,1,https://deplesman.com/,none identified,no,"No qualifying gastronomic event found in this pass"
720daffd-8ca2-40d9-bd35-ae4bbf6fdc59,hotel_11,Landgoed Hotel Het Roode Koper,Ermelo,1,https://www.roodekoper.nl/en,none identified,no,"No qualifying gastronomic event found in this pass"
8da4122a-9d68-4c48-9ea3-f0ab82db9e4a,hotel_08,Mooirivier,Dalfsen,1,https://www.mooirivier.nl/en,none identified,no,"No qualifying gastronomic event found in this pass"
78d68227-8ad9-4ed6-9f29-eb08b0404e7a,hotel_06,Pillows Grand Boutique Hotel Ter Borch,Zwolle,1,https://www.pillowshotels.com/zwolle/,none identified,no,"No qualifying gastronomic event found in this pass"
0bd84b73-b23c-40e8-b6e4-9b1cfda03a6e,hotel_01,Pulitzer Amsterdam,Amsterdam,1,https://www.pulitzeramsterdam.com/nl/,none identified,no,"No qualifying gastronomic event found in this pass"
d9678fe6-f22c-47a3-816b-8f5ab9085bf3,hotel_04,Soho House,Amsterdam,1,https://www.sohohouse.com/houses/soho-house-amsterdam,none identified,no,"Members-only club model — any events would likely be MEMBERS_ONLY; not searched in depth given weak public-accessibility fit"
d8900807-948f-4f11-8e15-a0fcfa1ac1af,hotel_09,The Craftsmen,Amsterdam,1,https://hotelthecraftsmen.com/,none identified,no,"No qualifying gastronomic event found in this pass"
62d57d25-8f09-41de-9e07-efee40d90a10,hotel_03,The Dylan,Amsterdam,1,https://www.dylanamsterdam.com/nl/,none identified,no,"No qualifying gastronomic event found in this pass"
4d09cb3c-7dd0-408e-80ac-02642a6b320b,hotel_05,Van Oys Maastricht Retreat,Maastricht,1,https://www.vanoys.com/,none identified,no,"No qualifying gastronomic event found in this pass"
NOT_IN_CATALOGUE,NOT_IN_CATALOGUE,Anantara Grand Hotel Krasnapolsky,Amsterdam,NONE_FOUND,https://www.anantara.com/en/grand-hotel-krasnapolsky-amsterdam,The White Room by Jacob Jan Boerma (1 star — IS in catalogue),yes (Royal Suite Dining Experience — series confirmed real; specific Sept 2026 dates unconfirmed in this pass),"CORRECTED (Dutch Catalogue Gap Pass): re-classified NOT_ELIGIBLE_UNDER_CURRENT_RULES. Original ""HOTEL_CATALOGUE_EXPANSION_CANDIDATE"" framing relied on ""hosts a Michelin-starred restaurant,"" which this project's own architecture docs explicitly state is NOT qualifying evidence for hotel inclusion. Fresh, dedicated research found no Michelin Key evidence and no World's 50 Best Hotels appearance for the hotel itself. See catalogue_gap_pass/DUTCH_CATALOGUE_GAP_REPORT.md and hotel_gap_candidates.csv for the full evidence trail."
NOT_IN_CATALOGUE,NOT_IN_CATALOGUE,Hotel Okura Amsterdam,Amsterdam,NONE_FOUND,https://www.okura.nl/,Ciel Bleu (2 star — IS in catalogue); Yamazato (1 star — IS in catalogue),yes (Vergeet Mij Niet Gala, 6 Oct 2026),"CORRECTED (Dutch Catalogue Gap Pass): re-classified NOT_ELIGIBLE_UNDER_CURRENT_RULES, same reasoning as Krasnapolsky. Distinct from ""The Okura Tokyo"" (1 Key), which IS in the catalogue under a different country — confirmed not a name collision. See catalogue_gap_pass/DUTCH_CATALOGUE_GAP_REPORT.md and hotel_gap_candidates.csv for the full evidence trail."
NOT_IN_CATALOGUE,NOT_IN_CATALOGUE,art'otel Amsterdam,Amsterdam,UNCONFIRMED,https://artotel.com/en/hotels/amsterdam/central-amsterdam/,ARCA (not in catalogue — chef Henrique Sá Pessoa's restaurant),yes (ARCA Behind the Pass series — recurring quarterly, no confirmed future 2026 date found in this pass),"Not independently confirmed as a Key hotel; recorded for completeness given its role hosting Henrique Sá Pessoa's ARCA"
